dist,C2',C3'
3.15,0.00390841905027628,0.876314163208008
3.16,0.00334444874897599,0.891748607158661
3.17,0.00285378959961236,0.907255053520203
3.18,0.00242823618464172,0.922765612602234
3.19,0.002060292288661,0.938215851783752
3.2,0.00174314505420625,0.953544735908508
3.21,0.00147062796168029,0.968695640563965
3.22,0.00123718590475619,0.983615517616272
3.23,0.00103783397935331,0.998257637023926
3.24,0.000868120812810957,1.01258015632629
3.25,0.000724085839465261,1.02654671669006
3.26,0.000602221523877233,1.04012656211853
3.27,0.000499433255754411,1.05329668521881
3.28,0.000413002155255526,1.06603872776031
3.29,0.000340549100656062,1.07834219932556
3.3,0.000280000473139808,1.09020388126373
3.31,0.000229555807891302,1.10162746906281
3.32,0.000187658137292601,1.11262392997742
3.33,0.0001529661094537,1.12321174144745
3.34,0.000124328609672375,1.1334171295166
3.35,0.000100761382782366,1.1432740688324
3.36,8.14261002233252e-005,1.15282320976257
3.37,6.56113625154831e-005,1.16211366653442
3.38,5.27154006704222e-005,1.17120265960693
3.39,4.22321245423518e-005,1.18015432357788
3.4,3.37359160766937e-005,1.18903851509094
3.41,2.68711264652666e-005,1.19793546199799
3.42,2.13413750316249e-005,1.20693206787109
3.43,1.69005888892571e-005,1.21611952781677
3.44,1.33451558212982e-005,1.22559940814972
3.45,1.05072131191264e-005,1.2354793548584
3.46,8.24884500616463e-006,1.24587416648865
3.47,6.45713862468256e-006,1.25690639019012
3.48,5.0399739848217e-006,1.26870656013489
3.49,3.9224482861755e-006,1.28140997886658
3.5,3.04387435789977e-006,1.29516351222992
3.51,2.35524703384726e-006,1.3101212978363
3.52,1.81713153324381e-006,1.32644498348236
3.53,1.39789983677474e-006,1.34430980682373
3.54,1.07227310763847e-006,1.36389374732971
3.55,8.20113996269356e-007,1.3853907585144
3.56,6.25435291112808e-007,1.40900731086731
3.57,4.75586659831606e-007,1.43495976924896
3.58,3.60591769776875e-007,1.46348035335541
3.59,2.72609440798988e-007,1.49481022357941
3.6,2.05496576199948e-007,1.52921986579895
3.61,1.54456728296282e-007,1.56698167324066
3.62,1.15757089247381e-007,1.60839939117432
3.63,8.6501501073144e-008,1.65378856658936
3.64,6.44526636506271e-008,1.70348966121674
3.65,4.78846402529598e-008,1.75787794589996
3.66,3.54723184159411e-008,1.81734240055084
3.67,2.62011834450959e-008,1.88230538368225
3.68,1.92970155410421e-008,1.95322203636169
3.69,1.41708911272076e-008,2.03058862686157
3.7,1.0376284720337e-008,2.11492848396301
3.71,7.575725824438e-009,2.20681929588318
3.72,5.51498313683396e-009,2.30688452720642
3.73,4.00314847937011e-009,2.41578817367554
