HEADER "0-ALL!P" not followed by a proline
HEADER "1-ALLP"      followed by a proline
HEADER "2-GLY!P"
HEADER "3-GLYP"
HEADER "3-GLYP"
HEADER "4-PRO!P"
HEADER "5-PROP"
HEADER "6-VI!P"
HEADER "7-VIP"
HEADER "8-DN!P"
HEADER "9-DNP"
HEADER "10-ST!P"
HEADER "11-STP"
HEADER "12-EQ!P"
HEADER "13-EQP"
HEADER "14-LA!P"
HEADER "15-LAP"
2 2 8  -0.397   0.372   0.084   0.677
2 2 9  -0.319   0.807  -0.468   0.693
2 2 10  -0.513   0.675   0.191   0.368
2 2 11  -0.421   0.870  -0.128   0.435
2 2 12  -0.384   0.507   0.073   0.358
2 2 13  -0.135   0.657  -0.349   0.500
2 2 14  -0.349   0.504   0.089   0.287
2 2 15  -0.099   0.731  -0.279   0.491
2 3 0  -0.141   0.254   0.076   0.284
2 3 1   0.016  -0.067   0.030   0.149
2 3 2  -0.207   0.056   0.117   0.335
2 3 3   0.105  -0.078   0.497  -0.295
2 3 4  -0.129  -0.045   0.007   0.149
2 3 5   0.085  -0.385   0.304   0.208
2 3 6  -0.006   0.321   0.121   0.252
2 3 7  -0.018  -0.037   0.062   0.288
2 3 8  -0.037   0.204  -0.028   0.321
2 3 9  -0.170  -0.111  -0.609   0.106
2 3 10  -0.064   0.243   0.037   0.237
2 3 11   0.178  -0.028  -0.261   0.273
2 3 12  -0.051   0.263   0.032   0.336
2 3 13  -0.047  -0.092  -0.157   0.281
2 3 14  -0.080   0.269   0.073   0.306
2 3 15  -0.064   0.001  -0.090   0.283
2 4 0   0.222   0.068   0.185  -0.098
2 4 1  -0.015  -0.083   0.145  -0.610
2 4 2   0.106  -0.039  -0.029   0.017
2 4 3  -0.027   0.159   0.324  -0.371
2 4 4  -0.044   0.386   0.318   0.019
2 4 5  -0.072   0.204   0.090  -0.018
2 4 6   0.373  -0.208   0.343  -0.049
2 4 7   0.120  -0.117   0.610  -0.485
2 4 8   0.113  -0.003   0.381   0.020
